OPM OCCUPATION TITLE ,FedSec Occ Group(9),SOC CODE,CENS CODE,CENSUS OCCUPATION TITLE
 ECONOMICS ASSISTANT,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
FOREIGN AFFAIRS ,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS "
INTERNATIONAL RELATIONS,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS "
INTELLIGENCE,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
INTELLIGENCE AID & CLERK,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
FOREIGN AGRICULTURAL AFFAIRS,2,19-3020,1810,MARKET & SURVEY RESEARCHERS
INTERNATIONAL COOPERATION,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
WORKFORCE RESEARCH & ANALYSIS,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
WORKFORCE DEVELOPMENT,2,13-1070,630,HUMAN RESOURCES WORKERS
GEOGRAPHY,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
CIVIL RIGHTS ANALYSIS,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
HISTORY,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
PSYCHOLOGY ,2,19-3030,1820,PSYCHOLOGISTS
PSYCHOLOGY AID & TECHNICIAN,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSCIAL, & SOCIAL SCIENCE TECHNICIANS"
SOCIOLOGY ,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
SOCIAL WORK,2,21-1020,2010,SOCIAL WORKERS
SOCIAL SERVICES AID & ASSISTANT ,5,21-109X,2025,MISCELLANEOUS COMMUNITY & SOCIAL SERVICE SPECIALISTS
SOCIAL SERVICES,5,43-4061,5250,"ELIGIBILITY INTERVIEWERS, GOVERNMENT PROGRAMS "
RECREATION SPECIALIST,9,39-9030,4620,RECREATION & FITNESS WORKERS
RECREATION AID & ASSISTANT,9,39-9030,4620,RECREATION & FITNESS WORKERS
GENERAL ANTHROPOLOGY,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
ARCHEOLOGY ,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
SOCIAL SCIENCE STUDENT TRAINEE,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
HUMAN RESOURCES MANAGEMENT ,1,11-3121,136,HUMAN RESOURCE MANAGERS
HUMAN RESOURCES  CLERICAL & ASSISTANCE ,5,43-4161,5360,TIMEKEEPING
MEDIATION,2,23-10XX,2100,"LAWYERS, JUDGES, MAGISTRATES, & OTHER JUDICIAL WORKERS "
APPRENTICESHIP & TRAINING ,2,13-1070,630,HUMAN RESOURCE WORKERS
LABOR-MANAGEMENT RELATIONS EXAMING ,1,13-1041,565,COMPLIANCE OFFICERS
WAGE & HOUR COMPLIANCE,1,13-1041,565,COMPLIANCE OFFICERS
EQUAL EMPLOYMENT OPPORTUNITY,1,13-1041,565,COMPLIANCE OFFICERS
HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,1,11-3121,136,HUMAN RESOURCE MANAGERS
MISCELLANEOUS ADMINISTRATION & PROGRAM,1,13-11XX,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
MESSENGER ,5,43-5021,5510,COURIERS & MESSENGERS
MISCELLANEOUS CLERK & ASSISTANT,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
INFORMATION RECEPTIONIST ,5,43-4171,5400,RECEPTIONISTS & INFORMATION CLERKS
MAIL & FILE ,5,43-9051,5850,MAIL CLERKS & MAIL MACHINE OPERATORS
GOVERNMENT INFORMATION,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
CORRESPONDENCE CLERK,5,43-4XXX,5350,CORRESPONDENCE CLERKS & ORDER CLERKS
CLERK-STENOGRAPHER & REPORTER,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
WORK UNIT SUPERVISING ,5,43-1011,5000,FIRST-LINE SUPERVISORS OF OFFICE & ADMINISTRATIVE SUPPORT WORKERS
SECRETARY ,5,43-6010,5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS
CLOSED MICROPHONE REPORTER,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
CLERK-TYPIST,5,43-9022,5820,WORD PROCESSORS & TYPISTS
OFFICE AUTOMATION CLERICAL & ASSISTANCE,5,43-9022,5820,WORD PROCESSORS & TYPISTS
COMPUTER OPERATION,5,43-9011,5800,COMPUTER OPERATORS
COMPUTER CLERK & ASSISTANT ,5,43-9011,5800,COMPUTER OPERATORS
PROGRAM MANAGEMENT ,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER "
ADMINISTRATIVE OFFICER ,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
SUPPORT SERVICES ADMINISTRATION ,1,11-3011,100,ADMINISTRATIVE SERVICES MANAGERS
MANAGEMENT PROGRAM ANALYSIS,1,13-1111,710,MANAGEMENT ANALYSTS
MANAGEMENT & PROGRAM CLERICAL & ASSISTANCE,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
LOGISTICS MANAGEMENT ,1,13-1081,700,LOGISTICIANS
GAO EVALUATOR,1,13-1111,710,MANAGEMENT ANALYSTS
EQUIPMENT OPERATOR,5,43-9071,5900,"OFFICE MACHINE OPERATORS, EXCEPT COMPUTERS"
DATA TRANSCRIBER,5,43-9021,5810,DATA ENTRY KEYERS
CODING,5,49-9021,5810,DATA ENTRY KEYERS
EQUAL OPPORTUNITY COMPLIANCE,1,13-1041,565,COMPLIANCE OFFICERS
EQUAL OPPORTUNITY ASSISTANCE,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
TELEPHONE OPERATING ,5,43-2021,5020,TELEPHONE OPERATORS
TELECOMMUNICATIONS PROCESSING,5,43-2099,5030,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER"
TELECOMMUNICATIONS,3,27-40XX,2900,BROADCAST & SOUND ENGINEERING TECHNICIANS
GENERAL TELECOMUNICATIONS,5,43-2099,5030,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHERS"
COMMUNICATIONS CLERICAL ,5,43-2099,5030,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER"
ADMINISTRATION & OFFICE SUPPORT STUDENT TRAINEE,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
GENERAL BIOLOGICAL SCIENCE,2,19-1020,1610,BIOLOGICAL SCIENTISTS
MICROBIOLOGY,2,19-1020,1610,BIOLOGICAL SCIENTISTS
BIOLOGICAL SCIENCE TECHNICIAN,3,19-4021,1910,BIOLOGICAL TECHNICIANS
PHARMACOLOGY ,2,19-1040,1650,"MEDICAL SCIENTISTS, & LIFE SCIENTISTS, ALL OTHER"
ECOLOGY,2,19-1030,1640,CONSERVATION SCIENTISTS & FORESTERS
ZOOLOGY,2,19-1020,1610,BIOLOGICAL SCIENTISTS
PHYSIOLOGY,2,19-10XX,1650,"MEDICAL SCIENTISTS, & LIFE SCIENTISTS, ALL OTHER"
ENTOMOLOGY,2,19-1020,1610,BIOLOGICAL SCIENTISTS
TOXICOLOGY,2,19-1040,1650,"MEDICAL SCIENTISTS, & LIFE SCIENTISTS, ALL OTHER"
PLANT PROTECTION TECHNICIAN ,3,19-4021,1910,BIOLOGICAL TECHNICIANS
BOTANY,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS
PLANT PATHOLOGY,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS
PLANT PHYSIOLOGY,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS
HORTICULTURE,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS
GENETICS,2,19-1020,1610,BIOLOGICAL SCIENTISTS
RANGELAND MANAGEMENT,2,19-1030,1640,CONSERVATION SCIENTISTS & FORESTERS
RANGE TECHNICIAN,3,19-40YY,1910,BIOLOGICAL TECHNICIANS
SOIL CONSERVATION ,2,19-1030,1640,CONSERVATION SCIENTISTS & FORESTERS
SOIL CONSERVATION TECHNICIAN,3,19-4021,1910,BIOLOGICAL TECHNICIANS
IRRIGATION SYSTEM OPERATION,8,45-20XX,6050,MISCELLANEOUS AGRICULTURAL WORKERS
FORESTRY ,2,19-1030,1640,CONSERVATION SCIENTISTS & FORESTERS
FORESTRY TECHNICIAN,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
SOIL SCIENCE,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS
AGRONOMY,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS
GENERAL FISH & WILDLIFE ADMINISTRATION,2,19-1020,1640,CONSERVATION SCIENTISTS & FORESTERS
FISHERY BIOLOGY,2,19-1020,1610,BIOLOGICAL SCIENTISTS
WILDLIFE REFUGE MANAGEMENT,2,19-1020,1640,CONSERVATION SCIENTISTS & FORESTERS
WILDLIFE BIOLOGY,2,19-1020,1610,BIOLOGICAL SCIENTISTS
ANIMAL SCIENCE,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS
BIOLOGICAL SCIENCE STUDENT TRAINEE,2,19-1020,1610,BIOLOGICAL SCIENTISTS
FINANCIAL ADMINISTRTION & PROGRAM,1,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER"
FINANCIAL CLERICAL & TECHNICIAN,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING & AUDITING CLERKS"
FINANCIAL MANAGEMENT,1,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER"
ACCOUNTING ,2,13-2011,800,ACCOUNTANTS & AUDITORS
AUDITING ,2,13-2011,800,ACCOUNTANTS & AUDITORS
INTERNAL REVENUE AGENT ,1,13-2081,930,"TAX EXAMINERS & COLLECTORS,   & REVENUE AGENTS"
ACCOUNTING TECHNICIAN ,5,43-3031,5120,"BOOKEEPING, ACCOUNTING, & AUDITING CLERKS"
TAX SPECIALIST,1,13-2081,930,"TAX EXAMINERS & COLLECTORS,  & REVENUE AGENTS"
CASH PROCESSING ,4,41-2010,4720,CASHIERS
VOUCHER EXAMINING,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS"
CIVILIAN PAY,5,43-3051,5140,PAYROLL & TIMEKEEPING CLERKS
MILITARY PAY,5,43-3051,5140,PAYROLL & TIMEKEEPING CLERKS
BUDGET ANALYSIS ,1,13-2031,820,BUDGET ANALYSTS
BUDGET CLERICAL & ASSISTANCE,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING & AUDITING CLERKS"
FINANCIAL INSTITUTION EXAMINING,1,13-2061,900,FINANCIAL EXAMINERS
CREDIT UNION EXAMINER,1,13-2061,700,FINANCIAL EXAMINERS
TAX EXAMING,1,13-2081,930,"TAX EXAMINERS & COLLECTORS, & REVENUE"
INSURANCE ACCOUNTS ,5,43-9041,5840,INSURANCE CLAIMS & POLICY PROCESSING CLERKS
FINANCIAL MANAGEMENT STUDENT TRAINEE ,1,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER"
GENERAL HEALTH SCIENCE,2,29-1199,3260,"HEALTH DIAGNOSING & TREATING PRACTITIONERS, ALL OTHER"
MEDICAL OFFICER ,2,29-1060,3060,PHYSICIANS & SURGEONS
PHYSICIAN'S ASSISTANT ,2,29-1071,3110,PHYSICIAN ASSISTANTS
NURSE,2,29-1141,3255,REGISTERED NURSES
PRACTICAL NURSE,3,29-2061,3500,LICENSED PRACTICAL & LICENSED VOCATIONAL NURSES
NURSING ASSISTANT,9,31-1010,3600,"NURSING, PSYCHIATRIC, & HOME HEALTH AIDES"
MEDICAL SUPPLY AIDE & TECHNICIAN,5,43-5081,5620,STOCK CLERKS & ORDER FILLERS
AUTOPSY ASSISTANT,9,31-909X,3655,OTHER HEALTHCARE SUPPORT OCCUPATIONS
DIETITIAN & NUTRITIONIST,2,29-1031,3030,DIETICIANS & NUTRITIONISTS
OCCUPATIONAL THERAPIST ,2,29-1122,3150,OCCUPATIONAL THERAPISTS
 PHYSICAL THERAPIST,2,29-1123,3160,PHYSICAL THERAPISTS
CORRECTIVE THERAPIST,2,29-112X,3245,"THERAPISTS, ALL OTHER"
REHABILITATION THERAPY ASSISTANT,9,31-909X,3655,OTHER HEALTHCARE SUPPORT OCCUPATIONS
MANUAL ARTS THERAPIST,2,29-112X,3245,"THERAPISTS, ALL OTHER"
RECREATIONAL THERAPIST,2,29-1125,3210,RECREATIONAL THERAPISTS
EDUCATIONAL THERAPIST,2,29-112X,3245,"THERAPISTS, ALL OTHER"
HEALTH AID & TECHNICIAN ,9,31-909X,3655,OTHER HEALTHCARE SUPPORT OCCUPATIONS
NUCLEAR MEDICINE TECHNICIAN,3,29-2030,3320,DIAGNOSTIC RELATED TECHNOLOGISTS & TECHNICIANS
MEDICAL TECHNOLOGIST,3,29-2010,3300,CLINICAL LABORATORY TECHNOLOGISTS & TECHNICIANS
MEDICAL TECHNICIAN,3,29-2010,3300,CLINICAL LABORATORY TECHNOLOGISTS & TECHNICIANS
PATHOLOGY TECHNICIAN ,3,29-2010,3300,CLINICAL LABORATORY TECHNOLOGISTS & TECHNICIANS
DIAGNOSTIC RADIOLOGIC TECHNOLOGIST,3,29-2030,3320,DIAGNOSTIC RELATED TECHNOLOGISTS & TECHNICIANS
THERAPEUTIC RADIOLOGIC TECHNOLOGIST,3,29-2030,3320,DIAGNOSTIC RELATED TECHNOLOGISTS & TECHNICIANS
MEDICAL INSTRUMENT TECHNICIAN,3,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
MEDICAL TECHNICAL ASSISTANT,3,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
RESPIRATORY THERAPIST,2,29-1126,3220,RESPIRATORY THERAPISTS
PHARMACIST,2,29-1051,3050,PHARMACISTS
PHARMACY TECHNICIAN,3,29-2050,3410,HEALTH DIAGNOSING & TREATING PRACTITONER SUPPORT TECHNICIANS
OPTOMETRIST ,2,29-1041,3040,OPTOMETRISTS
RESTORATION TECHNICIAN,6,51-9080,876,"MEDICAL, DENTAL, &  OPTHALMIC LABORATORY TECHNICIANS"
SPEECH PATHOLOGY & AUDIOLOGY ,2,29-1121,3140,AUDIOLOGISTS
ORTHOTIST & PROSTHETIST,3,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
PODIATRIST ,2,29-1081,3120,PODIATRISTS
MEDICAL RECORDS ADMINISTRATION,3,29-2071,3510,MEDICAL RECORDS & HEALTH INFORMATION TECHNICIANS
HEALTH SYSTEM ADMINISTRATION,1,11-9111,350,MEDICAL & HEALTH SERVICE MANAGEMENT 
HEALTH SYSTEM SPECIALIST,1,13-1111,710,MANAGEMENT ANALYSTS
PROSTHETIC REPRESENTATIVE,3,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
HOSPITAL HOUSEKEEPING MANAGEMENT,9,37-1011,4200,FIRST-LINE SUPERVISORS OF JANITORS & HOUSEKEEPING WORKERS
MEDICAL RECORDS & HEALTH INFORMATION TECHNICIAN,3,29-2071,3510,MEDICAL RECORDS & HEALTH INFORMATION TECHNICIANS
MEDICAL SUPPORT ASSISTANCE ,5,43-4199,5420,"INFORMATION & RECORD CLERKS, ALL OTHER "
DENTAL OFFICER,2,29-1020,3010,DENTISTS
DENTAL ASSISTANT,9,31-9091,3640,DENTAL ASSISTANTS
DENTAL HYGIENE,3,29-2021,3310,DENTAL HYGIENISTS
DENTAL LABORATORY AID & TECHNICIAN,6,51-9080,8760,"MEDICAL, DENTAL, & OPTHALMIC LABORATORY TECHNICIANS"
PUBLIC HEALTH PROGRAM SPECIALIST,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
SANITARIAN,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
INDUSTRIAL HYGIENE,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
CONSUMER SAFETY ,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
ENVIRONMENTAL HEALTH TECHNICIAN,9,29-2090,3535,MISCELLANEOUS HEALTH TECHNOLOGISTS & TECHNICIANS
MEDICAL & HEALTH STUDENT TRAINEE,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
VETERINARY MEDICAL SCIENCE ,2,29-1131,3250,VETERINARIANS
ANIMAL HEALTH TECHNICIAN,9,31-9096,3648,VETERINARY ASSISTANTS & LABORATORY ANIMAL CARETAKERS
VETERINARY STUDENT TRAINEE,2,29-1131,3250,VETERINARIANS
GENERAL ENGINEERING ,2,17-21YY,1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS"
ENGINEERING TECHNICIAN ,3,17-3020,1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS"
SAFETY ENGINEERING ,2,17-2110,1430,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH & SAFETY"
FIRE PROTECTION ENGINEERING,2,17-2110,1430,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH & SAFETY"
MATERIALS ENGINEERING ,2,17-2131,1450,MATERIALS ENGINEERS
LANDSCAPE ARCHITECTURE ,2,17-1010,1300,ARCHITECTS
ARCHITECTURE,2,17-1010,1300,ARCHITECTS
CONSTRUCTION CONTROL,1,47-4011,6660,CONSTRUCTION & BUILDING INSPECTORS
CIVIL ENGINEERING,2,17-2051,1360,CIVIL ENGINEERS
SURVEYING TECHNICIAN,3,17-3031,1560,SURVEYING & MAPPING TECHNICIANS
ENGINEERING DRAFTING ,3,17-3010,1540,DRAFTERS
ENVIRONMENTAL ENGINEERING,2,17-2081,1420,ENVIRONMENTAL ENGINEERS
CONSTRUCTION ANALYST ,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALSTS
MECHANICAL ENGINEERING ,2,17-2141,1460,MECHANICAL ENGINEERS
NUCLEAR ENGINEERING,2,17-21YY,1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS"
ELECTRICAL ENGINEERING,2,17-2070,1410,ELECTRICAL & ELECTRONIC ENGINEERS
COMPUTER ENGINEERING,2,17-2061,1400,COMPUTER HARDWARE ENGINEERS
ELECTRONICS ENGINEERING,2,17-2070,1410,ELECTRICAL & ELECTRONIC ENGINEERS
ELECTRONICS TECHNICIAN,3,17-3020,1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS"
BIOMEDICAL ENGINEERING,2,17-20XX,1340,BIOMEDICAL & AGRICULTURAL ENGINEERS
AEROSPACE ENGINEERING  ,2,17-2011,1320,AREROSPACE ENGINEERS
NAVAL ARCHITECTURE,2,17-2121,1440,MARINE ENGINEERS & NAVAL ARCHITECTS
SHIP SURVEYING ,2,17-2121,1440,MARINE ENGINEERS & NAVAL ARCHITECTS
MINING ENGINEERING ,2,17-21XX,1520,"PETROLEUM, MINING & GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS"
PETROLEUM ENGINEERING,2,17-21XX,1520,"PETROLEUM, MINING & GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS"
AGRICULTURAL ENGINEERING ,2,17-20XX,1340,BIOMEDICAL & AGRICULTURAL ENGINEERS
CHEMICAL ENGINEERING,2,17-2041,1350,CHEMICAL ENGINEERS
INDUSTRIAL ENGINEERING TECHNICIAN,3,17-3020,1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS"
INDUSTRIAL ENGINEERING ,2,17-2110,1430,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH & SAFETY"
ENGINEERING TRAINEE,2,17-21YY,1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS"
ENGINEERING & ARCHITECTURE STUDENT TRAINEE,2,17-21YY,1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS"
GENERAL LEGAL & KINDRED ADMINISTRATION,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
LAW CLERK,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICAL WORKERS"
GENERAL ATTORNEY,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICAL WORKERS"
HEARING & APPEALS,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICAL WORKERS"
ADMINISTRATIVE LAW JUDGE,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICAL WORKERS"
PARALEGAL SPECIALIST,5,23-2011,2145,PARALEGALS & LEGAL ASSISTANTS
PENSION LAW SPECIALIST,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
CONTACT REPRESENTATIVE,5,43-4061,5250,"ELIGIBILITY INTERVIEWERS, GOVERNMENT PROGRAMS "
LEGAL INSTRUMENTS EXAMINING,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
LAND LAW EXAMINING,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
PASSPORT & VISA EXAMINING,1,13-1041,565,COMPLIANCE OFFICERS
LEGAL ASSISTANCE,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
TAX LAW SPECIALIST ,5,23-2011,2145,PARALEGALS & LEGAL ASSISTANTS
WORKERS' COMPENSATION CLAIMS EXAMINING,1,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
RAILROAD RETIREMENT CLAIMS EXAMING ,1,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
VETERANS CLAIMS EXAMING,1,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
CLAIMS ASSISTANCE & EXAMING,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
LEGAL OCCUPATIONS STUDENT TRAINEE,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
GENERAL ARTS & INFORMATION,2,27-1010,2600,ARTIST & RELATED WORKERS
ARTS & INFORMATION SUPPORT,2,27-1010,2600,ARTISTS & RELATED WORKERS
